Date,City,Temperature,Humidity,Pressure,Wind_Speed,Cloud_Cover,Weather,Rainfall
2011-12-25 03:00:00,Mysuru,13.7,81,925.7,24.12,57,Clear,0
2023-08-05 22:00:00,Anand,27.6,86,1002,40.68,100,Cloudy,0
2018-05-21 05:00:00,Bharuch,27.5,90,1002.3,46.8,0,Clear,0
2026-01-24 14:00:00,New_Delhi,16.4,46,996.7,37.08,6,Clear,0
2024-01-30 08:00:00,Mangaluru,25.6,64,1012.8,30.96,98,Cloudy,0
2000-02-29 08:00:00,Amravati,20.5,53,975.8,7.56,0,Clear,0
2014-11-27 23:00:00,Wayanad,20.5,86,927,6.48,100,Cloudy,0
2016-06-03 22:00:00,Ahmedabad,34,35,998.2,30.96,1,Clear,0
2007-03-11 06:00:00,Udaipur,15.7,74,946.5,16.2,0,Clear,0
2014-05-19 15:00:00,Karimnagar,38.8,29,973.5,32.04,67,Rain,0.1
2025-04-15 18:00:00,Kalaburagi,35.8,16,955.9,33.48,8,Clear,0
2008-11-05 04:00:00,Warangal,18.1,68,978.8,27.72,19,Clear,0
2005-10-16 15:00:00,Amravati,24.2,90,970.3,23.4,97,Rain,1.1
2025-04-23 02:00:00,Bikaner,26,9,981.4,33.12,0,Clear,0
2021-07-07 15:00:00,Mumbai,29.4,76,1003.9,50.04,89,Rain,0.1
2011-10-02 04:00:00,Kota,22.5,76,978.2,40.32,0,Clear,0
2016-07-19 13:00:00,Ganganagar,35,54,980.9,33.12,16,Clear,0
2009-09-24 20:00:00,Delhi_North,29.9,66,978.4,29.52,0,Clear,0
1997-10-02 06:00:00,Solapur,21.8,93,961.4,28.44,0,Clear,0
2021-05-02 04:00:00,Kolhapur,25,87,946.6,16.56,44,Clear,0
1997-05-04 23:00:00,Ratnagiri,25.6,87,1000.7,31.32,1,Clear,0
2003-09-05 15:00:00,Bikaner,32.8,44,976.3,35.28,91,Cloudy,0
1998-12-22 13:00:00,Kalaburagi,27.5,31,961.8,21.96,0,Clear,0
2020-07-25 07:00:00,Jaipur,26.5,86,957.5,24.48,84,Cloudy,0
2005-08-23 02:00:00,Mumbai,25.1,89,1008,25.2,100,Cloudy,0
2020-12-12 19:00:00,Ajmer,17.5,57,960.1,32.4,2,Clear,0
2006-06-04 06:00:00,Shivamogga,21.2,98,943.1,55.8,100,Rain,0.2
2009-09-23 03:00:00,Thrissur,24.7,93,1006.7,12.6,82,Rain,0.2
1997-08-30 10:00:00,Anand,28.2,82,1002.2,28.8,99,Cloudy,0
2010-06-09 05:00:00,Kochi,25.2,94,1007.2,11.52,100,Rain,0.2
2019-10-29 11:00:00,Shivamogga,27.1,66,947.8,54,11,Rain,0.1
2010-04-09 23:00:00,Solapur,32.9,34,957.6,68.04,58,Clear,0
2020-10-18 22:00:00,Hubballi,21.9,98,940.4,29.88,97,Cloudy,0
2006-05-13 16:00:00,Mysuru,29.3,54,927,55.8,67,Rain,2.6
2013-11-04 12:00:00,Kota,30,24,988.8,23.4,0,Clear,0
2001-12-30 04:00:00,Kalaburagi,20,63,965,25.56,96,Cloudy,0
2008-08-28 08:00:00,Warangal,26.4,87,979,30.24,94,Rain,0.1
2021-03-18 15:00:00,Bengaluru,32.2,17,912,58.32,96,Cloudy,0
2024-11-23 10:00:00,Kollam,30.5,58,1010.2,49.32,100,Cloudy,0
2009-09-24 07:00:00,Kolhapur,22.6,95,949.2,21.96,50,Clear,0
2005-11-20 06:00:00,Nashik,14,72,947.9,32.76,0,Clear,0
2007-12-15 03:00:00,Warangal,21.8,75,980.7,10.8,63,Cloudy,0
2012-01-28 15:00:00,Udaipur,23.1,25,947.9,31.68,14,Clear,0
2000-06-22 18:00:00,Kolhapur,24.2,86,944.3,55.08,98,Cloudy,0
2013-03-25 11:00:00,Udaipur,29.2,19,951.4,32.4,23,Clear,0
2011-03-10 03:00:00,Surat,20.1,85,1008.9,40.68,0,Clear,0
2003-10-07 03:00:00,Khammam,23.9,94,986,55.8,100,Rain,1.1
2010-01-25 18:00:00,Delhi_North,20.7,68,989.5,27.36,0,Clear,0
2025-11-01 04:00:00,Nashik,21.6,100,945.1,19.08,100,Cloudy,0
2019-12-18 17:00:00,Kochi,28.6,67,1007.7,23.4,17,Clear,0
2019-06-09 00:00:00,Idukki,20.4,98,897.6,43.92,81,Rain,0.1
2025-07-09 17:00:00,Surat,28.4,80,1000,61.56,96,Rain,0.1
2005-01-07 03:00:00,Bengaluru,14.3,95,912.7,33.84,8,Clear,0
2025-09-27 10:00:00,Junagadh,29.4,76,1000.1,30.24,80,Cloudy,0
2013-03-19 02:00:00,Ratnagiri,24.2,91,1000.4,6.48,34,Clear,0
2003-11-30 16:00:00,Ratnagiri,31,46,1001.8,25.2,100,Cloudy,0
2020-12-28 20:00:00,Shivamogga,21.7,44,945.5,38.52,19,Clear,0
2020-04-26 06:00:00,Mangaluru,27.2,81,1006.2,24.12,54,Clear,0
2006-09-11 06:00:00,Jaipur,23.4,82,957.8,33.48,28,Clear,0
2009-06-26 09:00:00,Kochi,24.4,93,1010.5,11.88,100,Rain,2.1
2025-11-30 03:00:00,Bikaner,14.4,55,988.5,26.64,97,Cloudy,0
2022-05-04 02:00:00,Bengaluru,21.6,83,908.7,21.24,18,Clear,0
2003-08-08 15:00:00,Thrissur,27,84,1004.6,55.44,100,Rain,0.3
2000-11-09 23:00:00,Kochi,25.7,89,1009.5,14.76,75,Cloudy,0
2019-10-03 11:00:00,Hyderabad,28.5,68,956.9,24.12,82,Rain,0.1
2011-10-11 00:00:00,Shivamogga,22.5,93,947.9,16.56,100,Rain,1.5
2011-12-02 08:00:00,Nashik,21.7,73,948.2,22.32,0,Clear,0
1996-04-02 07:00:00,Khammam,27,81,993.5,30.24,41,Clear,0
2017-09-06 02:00:00,Nashik,20.8,99,943.8,16.2,98,Cloudy,0
2021-10-18 20:00:00,Thrissur,24.6,94,1008.4,15.84,100,Cloudy,0
2007-08-18 01:00:00,Jodhpur,25.7,84,977.3,83.88,9,Clear,0
2000-03-10 18:00:00,Ratnagiri,26.4,43,1000.6,33.84,0,Clear,0
2023-09-21 09:00:00,Hyderabad,26.6,81,954.8,50.4,100,Rain,0.1
2010-01-03 04:00:00,Chikkamagaluru,14.5,82,899.5,20.16,0,Clear,0
2000-03-18 01:00:00,Kochi,27,77,1008,6.48,6,Clear,0
2025-10-31 03:00:00,Kozhikode,22.8,100,1009.8,4.68,95,Cloudy,0
1996-12-12 09:00:00,Junagadh,19.2,40,1006.6,39.24,0,Clear,0
2025-05-07 20:00:00,Shivamogga,25.6,72,945.1,45.72,5,Clear,0
2012-11-28 10:00:00,Aurangabad,27,52,949.5,14.04,0,Clear,0
