City,Temperature,Humidity,Pressure,Wind_Speed,Cloud_Cover,Weather,Rainfall,Year,Month,Day,Hour,DayOfWeek,Season
31,13.7,81,925.7,24.12,57,0,0.0,2011,12,25,3,3,3
4,27.6,86,1002.0,40.68,100,1,0.0,2023,8,5,22,2,0
8,27.5,90,1002.3,46.8,0,0,0.0,2018,5,21,5,1,2
34,16.4,46,996.7,37.08,6,0,0.0,2026,1,24,14,2,3
29,25.6,64,1012.8,30.96,98,1,0.0,2024,1,30,8,5,3
3,20.5,53,975.8,7.56,0,0,0.0,2000,2,29,8,5,3
46,20.5,86,927.0,6.48,100,1,0.0,2014,11,27,23,4,1
1,34.0,35,998.2,30.96,1,0,0.0,2016,6,3,22,0,0
44,15.7,74,946.5,16.2,0,0,0.0,2007,3,11,6,3,2
22,38.8,29,973.5,32.04,67,2,0.1,2014,5,19,15,1,2
21,35.8,16,955.9,33.48,8,0,0.0,2025,4,15,18,5,2
45,18.1,68,978.8,27.72,19,0,0.0,2008,11,5,4,6,1
3,24.2,90,970.3,23.4,97,2,1.1,2005,10,16,15,3,1
10,26.0,9,981.4,33.12,0,0,0.0,2025,4,23,2,6,2
30,29.4,76,1003.9,50.04,89,2,0.1,2021,7,7,15,6,0
27,22.5,76,978.2,40.32,0,0,0.0,2011,10,2,4,3,1
14,35.0,54,980.9,33.12,16,0,0.0,2016,7,19,13,5,0
12,29.9,66,978.4,29.52,0,0,0.0,2009,9,24,20,4,1
40,21.8,93,961.4,28.44,0,0,0.0,1997,10,2,6,4,1
25,25.0,87,946.6,16.56,44,0,0.0,2021,5,2,4,3,2
38,25.6,87,1000.7,31.32,1,0,0.0,1997,5,4,23,3,2
10,32.8,44,976.3,35.28,91,1,0.0,2003,9,5,15,0,1
21,27.5,31,961.8,21.96,0,0,0.0,1998,12,22,13,5,3
18,26.5,86,957.5,24.48,84,1,0.0,2020,7,25,7,2,0
30,25.1,89,1008.0,25.2,100,1,0.0,2005,8,23,2,5,0
2,17.5,57,960.1,32.4,2,0,0.0,2020,12,12,19,2,3
39,21.2,98,943.1,55.8,100,2,0.2,2006,6,4,6,3,0
43,24.7,93,1006.7,12.6,82,2,0.2,2009,9,23,3,6,1
4,28.2,82,1002.2,28.8,99,1,0.0,1997,8,30,10,2,0
24,25.2,94,1007.2,11.52,100,2,0.2,2010,6,9,5,6,0
39,27.1,66,947.8,54.0,11,2,0.1,2019,10,29,11,5,1
40,32.9,34,957.6,68.04,58,0,0.0,2010,4,9,23,0,2
15,21.9,98,940.4,29.88,97,1,0.0,2020,10,18,22,3,1
31,29.3,54,927.0,55.8,67,2,2.6,2006,5,13,16,2,2
27,30.0,24,988.8,23.4,0,0,0.0,2013,11,4,12,1,1
21,20.0,63,965.0,25.56,96,1,0.0,2001,12,30,4,3,3
45,26.4,87,979.0,30.24,94,2,0.1,2008,8,28,8,4,0
7,32.2,17,912.0,58.32,96,1,0.0,2021,3,18,15,4,2
